Interest,Skill_Level,Work_Style,Education,Personality,Problem_Solving,Tech,Communication,Leadership,Creativity,Career
art,beginner,flexible,masters,introvert,intuitive,high,excellent,visionary,very high,ui/ux designer
business,advanced,office,phd,extrovert,creative,high,fluent,strong,high,augmented reality developer
technology,beginner,remote,bachelors,doer,logical,high,poor,strong,high,cybersecurity analyst
medicine,intermediate,team,masters,introvert,analytical,high,average,visionary,low,embedded systems engineer
science,intermediate,team,bachelors,thinker,logical,high,fluent,moderate,medium,data analyst
science,expert,office,diploma,introvert,logical,low,fluent,collaborative,high,ml engineer
business,beginner,solo,diploma,thinker,logical,very high,poor,collaborative,high,technical writer
medicine,advanced,remote,high school,thinker,logical,high,average,strong,exceptional,embedded systems engineer
medicine,advanced,solo,phd,introvert,analytical,very high,average,collaborative,very high,data scientist
science,beginner,remote,phd,introvert,intuitive,high,excellent,strong,low,blockchain developer
art,expert,office,phd,leader,creative,medium,poor,strong,very high,data scientist
art,advanced,team,bachelors,extrovert,practical,medium,excellent,moderate,low,data engineer
science,advanced,office,phd,extrovert,intuitive,high,average,visionary,medium,cloud architect
science,expert,office,diploma,introvert,logical,high,poor,strong,low,software engineer
technology,beginner,flexible,diploma,leader,practical,high,excellent,collaborative,very high,automation engineer
science,intermediate,flexible,bachelors,thinker,logical,medium,outstanding,moderate,low,network engineer
art,advanced,remote,diploma,thinker,analytical,high,average,strong,low,solutions architect
business,intermediate,flexible,phd,doer,practical,high,average,collaborative,very high,virtual reality developer
art,beginner,office,diploma,extrovert,creative,medium,average,collaborative,exceptional,game developer
technology,expert,team,masters,extrovert,analytical,very high,excellent,strong,high,financial analyst
science,advanced,office,masters,introvert,intuitive,very high,poor,moderate,low,algorithm engineer
technology,advanced,office,phd,thinker,practical,high,poor,visionary,exceptional,robotics engineer
art,intermediate,solo,diploma,thinker,analytical,very high,outstanding,visionary,high,qa engineer
science,intermediate,team,bachelors,thinker,analytical,low,average,strong,exceptional,qa engineer
business,intermediate,solo,high school,doer,creative,medium,poor,collaborative,very high,automation engineer
business,advanced,team,bachelors,leader,analytical,very high,excellent,visionary,low,augmented reality developer
business,beginner,remote,bachelors,thinker,practical,low,poor,collaborative,exceptional,financial analyst
art,expert,remote,diploma,introvert,creative,high,fluent,collaborative,low,cloud architect
art,advanced,office,phd,introvert,intuitive,low,average,collaborative,exceptional,ai researcher
medicine,advanced,remote,masters,thinker,analytical,medium,fluent,moderate,low,nlp engineer
science,expert,office,phd,extrovert,analytical,high,outstanding,strong,low,solutions architect
business,beginner,flexible,masters,doer,logical,high,excellent,visionary,low,game developer
art,advanced,remote,masters,doer,intuitive,high,poor,collaborative,high,research scientist
science,advanced,office,bachelors,introvert,intuitive,high,average,moderate,very high,technical writer
science,advanced,team,diploma,doer,practical,very high,average,collaborative,medium,nlp engineer
technology,advanced,office,phd,leader,practical,high,outstanding,collaborative,low,hardware engineer
art,beginner,solo,bachelors,thinker,practical,high,average,moderate,low,network engineer
art,beginner,remote,phd,leader,practical,very high,excellent,strong,very high,augmented reality developer
art,intermediate,solo,bachelors,introvert,logical,low,outstanding,strong,high,game developer
medicine,advanced,remote,bachelors,introvert,logical,high,fluent,strong,medium,solutions architect
art,advanced,office,phd,extrovert,practical,high,poor,strong,medium,game developer
technology,advanced,team,bachelors,doer,logical,very high,excellent,collaborative,exceptional,data engineer
medicine,beginner,flexible,high school,leader,intuitive,high,excellent,visionary,very high,solutions architect
science,advanced,office,phd,introvert,intuitive,medium,average,strong,high,speech recognition specialist
art,expert,remote,phd,thinker,intuitive,very high,poor,moderate,low,solutions architect
technology,beginner,remote,masters,introvert,practical,medium,poor,collaborative,low,data engineer
business,advanced,team,masters,thinker,intuitive,high,excellent,collaborative,high,database administrator
technology,expert,office,masters,thinker,creative,low,fluent,collaborative,exceptional,cybersecurity analyst
business,advanced,office,phd,extrovert,analytical,high,average,visionary,very high,speech recognition specialist
technology,advanced,team,high school,thinker,practical,very high,outstanding,visionary,exceptional,technical writer
technology,beginner,team,diploma,introvert,logical,medium,fluent,collaborative,very high,algorithm engineer
technology,advanced,solo,bachelors,thinker,creative,high,fluent,visionary,medium,ai researcher
art,advanced,office,phd,introvert,creative,very high,poor,collaborative,exceptional,research scientist
medicine,beginner,remote,diploma,extrovert,practical,high,excellent,moderate,high,ui/ux designer
art,expert,team,diploma,thinker,creative,low,excellent,visionary,exceptional,mobile app developer
technology,advanced,remote,phd,leader,intuitive,high,average,strong,medium,ai ethics researcher
art,beginner,team,bachelors,leader,analytical,medium,average,collaborative,medium,virtual reality developer
art,intermediate,solo,diploma,leader,logical,medium,excellent,visionary,low,game developer
business,advanced,flexible,bachelors,extrovert,analytical,very high,outstanding,moderate,high,algorithm engineer
business,advanced,remote,masters,extrovert,logical,medium,poor,strong,very high,technical writer
art,intermediate,remote,masters,extrovert,creative,high,outstanding,strong,low,network engineer
business,advanced,flexible,phd,doer,analytical,very high,average,strong,very high,augmented reality developer
business,expert,flexible,high school,extrovert,creative,very high,average,collaborative,low,technical writer
medicine,expert,team,phd,extrovert,intuitive,high,fluent,collaborative,very high,cybersecurity analyst
medicine,advanced,remote,masters,extrovert,logical,medium,outstanding,moderate,exceptional,augmented reality developer
technology,intermediate,remote,phd,thinker,analytical,low,poor,collaborative,high,full stack developer
business,advanced,solo,diploma,extrovert,creative,high,poor,collaborative,exceptional,data scientist
art,advanced,office,bachelors,doer,creative,medium,outstanding,moderate,very high,solutions architect
art,advanced,office,masters,extrovert,intuitive,high,excellent,visionary,very high,hardware engineer
art,beginner,remote,phd,doer,logical,medium,fluent,collaborative,exceptional,software engineer
technology,advanced,office,bachelors,doer,intuitive,high,poor,strong,very high,qa engineer
technology,expert,solo,phd,thinker,creative,very high,excellent,moderate,medium,research scientist
science,advanced,office,masters,introvert,creative,high,fluent,moderate,high,full stack developer
medicine,advanced,solo,phd,introvert,practical,high,average,collaborative,medium,research scientist
business,intermediate,solo,bachelors,thinker,logical,high,average,visionary,very high,cloud architect
technology,advanced,team,phd,thinker,analytical,very high,poor,strong,high,financial analyst
art,advanced,solo,masters,introvert,intuitive,very high,excellent,collaborative,medium,robotics engineer
science,advanced,team,phd,leader,practical,high,excellent,visionary,exceptional,ml engineer
art,advanced,team,diploma,leader,intuitive,medium,poor,collaborative,exceptional,cybersecurity analyst
medicine,beginner,flexible,bachelors,leader,analytical,high,excellent,collaborative,low,site reliability engineer
art,advanced,remote,bachelors,introvert,practical,high,outstanding,collaborative,medium,site reliability engineer
medicine,expert,flexible,diploma,doer,intuitive,medium,excellent,collaborative,very high,research scientist
art,intermediate,remote,diploma,leader,logical,high,excellent,moderate,medium,solutions architect
business,advanced,team,diploma,introvert,logical,high,poor,collaborative,low,nlp engineer
business,expert,office,masters,thinker,analytical,low,average,collaborative,high,computer vision engineer
art,advanced,remote,bachelors,introvert,intuitive,high,average,visionary,medium,ai ethics researcher
business,advanced,remote,high school,introvert,intuitive,high,poor,collaborative,very high,full stack developer
medicine,intermediate,office,bachelors,introvert,practical,medium,average,visionary,medium,cloud architect
art,expert,remote,diploma,introvert,creative,low,excellent,strong,high,system architect
technology,expert,solo,phd,extrovert,logical,medium,excellent,collaborative,exceptional,nlp engineer
science,advanced,solo,phd,extrovert,practical,high,fluent,collaborative,very high,nlp engineer
science,beginner,office,high school,introvert,analytical,low,excellent,strong,low,bioinformatics scientist
technology,advanced,solo,bachelors,extrovert,logical,high,average,strong,exceptional,robotics engineer
medicine,expert,solo,diploma,extrovert,analytical,low,fluent,moderate,exceptional,iot specialist
medicine,beginner,team,bachelors,introvert,intuitive,very high,excellent,collaborative,high,business analyst
medicine,expert,team,bachelors,introvert,analytical,high,average,collaborative,exceptional,speech recognition specialist
